order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD100000,2025-01-01 00:01:00,Pune,R0318,Desserts,545,35,1
ORD100001,2025-01-01 00:03:00,Bangalore,R0591,Biryani,1141,73,0
ORD100002,2025-01-01 00:04:00,Delhi,R0697,Fast Food,419,74,0
ORD100003,2025-01-01 00:08:00,Hyderabad,R0785,Fast Food,1366,70,0
ORD100004,2025-01-01 00:12:00,Mumbai,R0790,Chinese,431,15,0
ORD100005,2025-01-01 00:13:00,Bangalore,R0279,Beverages,944,37,0
ORD100006,2025-01-01 00:17:00,Delhi,R0742,Continental,1377,53,0
ORD100007,2025-01-01 00:24:00,Chennai,R0046,Continental,1207,32,0
ORD100008,2025-01-01 00:25:00,Mumbai,R0561,Desserts,680,54,1
ORD100009,2025-01-01 00:27:00,Mumbai,R0198,North Indian,713,54,0
ORD100010,2025-01-01 00:29:00,Kolkata,R0481,Chinese,902,26,0
ORD100011,2025-01-01 00:33:00,Bangalore,R0410,Fast Food,1072,43,1
ORD100012,2025-01-01 00:35:00,Chennai,R0624,South Indian,705,25,0
ORD100013,2025-01-01 00:41:00,Chennai,R0447,Desserts,350,68,0
ORD100014,2025-01-01 00:47:00,Delhi,R0230,Continental,778,17,1
ORD100015,2025-01-01 00:51:00,Hyderabad,R0126,Fast Food,974,30,1
ORD100016,2025-01-01 01:00:00,Mumbai,R0787,Desserts,1225,63,0
ORD100017,2025-01-01 01:03:00,Hyderabad,R0772,Beverages,1339,33,0
ORD100018,2025-01-01 01:03:00,Chennai,R0072,Fast Food,92,49,1
ORD100019,2025-01-01 01:03:00,Mumbai,R0732,Biryani,738,57,1
ORD100020,2025-01-01 01:04:00,Mumbai,R0291,Biryani,1059,45,0
ORD100021,2025-01-01 01:04:00,Hyderabad,R0371,Chinese,386,21,0
ORD100022,2025-01-01 01:06:00,Bangalore,R0504,Fast Food,272,26,0
ORD100023,2025-01-01 01:21:00,Chennai,R0307,Continental,569,67,0
ORD100024,2025-01-01 01:21:00,Delhi,R0154,South Indian,1025,53,0
ORD100025,2025-01-01 01:22:00,Hyderabad,R0160,Beverages,529,55,0
ORD100026,2025-01-01 01:27:00,Mumbai,R0371,South Indian,1474,66,0
ORD100027,2025-01-01 01:31:00,Chennai,R0150,South Indian,1395,23,1
ORD100028,2025-01-01 01:45:00,Delhi,R0563,Desserts,1330,72,0
ORD100029,2025-01-01 01:46:00,Mumbai,R0117,Beverages,1231,68,0
ORD100030,2025-01-01 01:48:00,Chennai,R0416,Chinese,1013,53,0
ORD100031,2025-01-01 02:11:00,Mumbai,R0724,South Indian,963,65,0
ORD100032,2025-01-01 02:14:00,Pune,R0526,Desserts,930,28,0
ORD100033,2025-01-01 02:19:00,Chennai,R0460,Desserts,440,74,0
ORD100034,2025-01-01 02:19:00,Pune,R0001,Chinese,1289,60,0
ORD100035,2025-01-01 02:26:00,Mumbai,R0171,North Indian,721,48,0
ORD100036,2025-01-01 02:27:00,Delhi,R0023,Biryani,787,52,0
ORD100037,2025-01-01 02:37:00,Bangalore,R0796,Biryani,1371,63,1
ORD100038,2025-01-01 02:38:00,Mumbai,R0150,Desserts,1228,65,1
ORD100039,2025-01-01 02:41:00,Bangalore,R0177,Continental,1421,53,0
ORD100040,2025-01-01 02:42:00,Chennai,R0123,North Indian,147,48,0
ORD100041,2025-01-01 02:51:00,Chennai,R0445,Chinese,142,58,0
ORD100042,2025-01-01 02:52:00,Delhi,R0676,Beverages,1077,25,0
ORD100043,2025-01-01 03:02:00,Hyderabad,R0288,South Indian,592,46,1
ORD100044,2025-01-01 03:06:00,Bangalore,R0723,Desserts,481,63,1
ORD100045,2025-01-01 03:09:00,Bangalore,R0247,Desserts,943,34,0
ORD100046,2025-01-01 03:28:00,Mumbai,R0430,South Indian,651,26,0
ORD100047,2025-01-01 03:35:00,Bangalore,R0145,North Indian,107,71,0
ORD100048,2025-01-01 03:45:00,Chennai,R0693,Chinese,726,47,0
ORD100049,2025-01-01 03:47:00,Hyderabad,R0369,Chinese,1299,53,0
ORD100050,2025-01-01 03:53:00,Mumbai,R0434,Italian,641,74,0
ORD100051,2025-01-01 03:59:00,Chennai,R0114,Fast Food,530,21,1
ORD100052,2025-01-01 04:09:00,Mumbai,R0694,Chinese,156,30,0
ORD100053,2025-01-01 04:09:00,Pune,R0062,Italian,893,66,0
ORD100054,2025-01-01 04:19:00,Chennai,R0024,South Indian,996,49,1
ORD100055,2025-01-01 04:22:00,Hyderabad,R0057,Fast Food,548,66,0
ORD100056,2025-01-01 04:24:00,Bangalore,R0390,Fast Food,645,70,0
ORD100057,2025-01-01 04:27:00,Mumbai,R0083,Chinese,1296,55,0
ORD100058,2025-01-01 04:31:00,Bangalore,R0627,Biryani,1334,33,0
ORD100059,2025-01-01 04:48:00,Mumbai,R0595,Italian,254,32,0
ORD100060,2025-01-01 04:54:00,Mumbai,R0493,Fast Food,487,39,1
ORD100061,2025-01-01 05:03:00,Delhi,R0627,Beverages,194,74,0
ORD100062,2025-01-01 05:18:00,Hyderabad,R0076,Italian,159,25,1
ORD100063,2025-01-01 05:27:00,Delhi,R0160,North Indian,393,71,1
ORD100064,2025-01-01 05:28:00,Pune,R0665,Fast Food,609,50,0
ORD100065,2025-01-01 05:29:00,Delhi,R0064,Desserts,672,21,1
ORD100066,2025-01-01 05:30:00,Kolkata,R0736,Continental,553,63,0
ORD100067,2025-01-01 05:39:00,Kolkata,R0516,South Indian,200,34,1
ORD100068,2025-01-01 05:42:00,Mumbai,R0167,Beverages,1180,43,0
ORD100069,2025-01-01 05:49:00,Kolkata,R0130,Continental,120,20,0
ORD100070,2025-01-01 05:52:00,Pune,R0407,Biryani,553,58,0
ORD100071,2025-01-01 05:58:00,Delhi,R0711,South Indian,264,57,0
ORD100072,2025-01-01 06:00:00,Kolkata,R0084,Continental,1021,33,0
ORD100073,2025-01-01 06:08:00,Delhi,R0548,Continental,583,32,0
ORD100074,2025-01-01 06:15:00,Delhi,R0700,North Indian,1119,15,0
ORD100075,2025-01-01 06:17:00,Bangalore,R0437,North Indian,1444,62,0
ORD100076,2025-01-01 06:17:00,Delhi,R0017,Beverages,998,69,0
ORD100077,2025-01-01 06:18:00,Delhi,R0598,South Indian,1101,67,0
ORD100078,2025-01-01 06:21:00,Kolkata,R0251,Desserts,382,73,0
ORD100079,2025-01-01 06:22:00,Kolkata,R0500,South Indian,835,45,1
ORD100080,2025-01-01 06:22:00,Hyderabad,R0616,Beverages,98,62,0
ORD100081,2025-01-01 06:23:00,Bangalore,R0462,Biryani,374,24,0
ORD100082,2025-01-01 06:27:00,Pune,R0330,Continental,293,43,0
ORD100083,2025-01-01 06:29:00,Delhi,R0449,Chinese,666,27,1
ORD100084,2025-01-01 06:43:00,Kolkata,R0761,North Indian,610,39,0
ORD100085,2025-01-01 06:54:00,Mumbai,R0316,Biryani,716,65,1
ORD100086,2025-01-01 07:00:00,Pune,R0465,Biryani,1152,58,1
ORD100087,2025-01-01 07:04:00,Chennai,R0296,Fast Food,1291,54,1
ORD100088,2025-01-01 07:17:00,Kolkata,R0206,Beverages,1393,58,0
ORD100089,2025-01-01 07:30:00,Pune,R0305,Desserts,1109,68,0
ORD100090,2025-01-01 07:31:00,Pune,R0337,Chinese,819,46,0
ORD100091,2025-01-01 07:36:00,Chennai,R0778,Fast Food,556,58,1
ORD100092,2025-01-01 07:48:00,Pune,R0378,Italian,551,37,1
ORD100093,2025-01-01 08:01:00,Hyderabad,R0210,Continental,1272,44,0
ORD100094,2025-01-01 08:08:00,Delhi,R0163,Continental,767,23,0
ORD100095,2025-01-01 08:10:00,Chennai,R0394,Desserts,1443,62,0
ORD100096,2025-01-01 08:13:00,Delhi,R0020,North Indian,182,24,0
ORD100097,2025-01-01 08:14:00,Pune,R0720,South Indian,919,72,0
ORD100098,2025-01-01 08:15:00,Delhi,R0401,Chinese,943,64,1
ORD100099,2025-01-01 08:39:00,Kolkata,R0551,Continental,189,48,1
ORD100100,2025-01-01 08:47:00,Mumbai,R0050,Continental,788,46,1
ORD100101,2025-01-01 08:53:00,Delhi,R0092,Desserts,702,15,1
ORD100102,2025-01-01 08:55:00,Kolkata,R0468,Italian,225,41,0
ORD100103,2025-01-01 09:02:00,Delhi,R0710,Chinese,920,27,0
ORD100104,2025-01-01 09:04:00,Bangalore,R0201,Continental,1160,18,0
ORD100105,2025-01-01 09:10:00,Hyderabad,R0176,Desserts,906,47,0
ORD100106,2025-01-01 09:10:00,Mumbai,R0417,Italian,1400,28,0
ORD100107,2025-01-01 09:26:00,Bangalore,R0662,Fast Food,170,24,0
ORD100108,2025-01-01 09:31:00,Chennai,R0046,Desserts,707,65,0
ORD100109,2025-01-01 09:35:00,Kolkata,R0089,Italian,1491,31,0
ORD100110,2025-01-01 09:47:00,Delhi,R0228,Chinese,828,32,0
ORD100111,2025-01-01 09:47:00,Delhi,R0775,Italian,327,35,0
ORD100112,2025-01-01 09:52:00,Bangalore,R0015,Desserts,383,33,0
ORD100113,2025-01-01 09:56:00,Mumbai,R0349,Continental,785,58,1
ORD100114,2025-01-01 10:21:00,Mumbai,R0165,North Indian,905,18,0
ORD100115,2025-01-01 10:32:00,Mumbai,R0458,Chinese,349,22,0
ORD100116,2025-01-01 10:38:00,Bangalore,R0586,Continental,121,54,0
ORD100117,2025-01-01 10:49:00,Pune,R0316,South Indian,1174,21,1
ORD100118,2025-01-01 11:00:00,Delhi,R0621,Fast Food,760,44,0
ORD100119,2025-01-01 11:03:00,Delhi,R0269,Italian,754,44,0
ORD100120,2025-01-01 11:06:00,Chennai,R0147,Biryani,976,58,0
ORD100121,2025-01-01 11:07:00,Delhi,R0496,North Indian,1275,73,0
ORD100122,2025-01-01 11:08:00,Chennai,R0305,Chinese,766,35,0
ORD100123,2025-01-01 11:09:00,Mumbai,R0279,Continental,713,69,0
ORD100124,2025-01-01 11:36:00,Mumbai,R0055,Italian,181,25,1
ORD100125,2025-01-01 11:36:00,Mumbai,R0465,Beverages,91,37,0
ORD100126,2025-01-01 11:44:00,Mumbai,R0522,Italian,361,30,0
ORD100127,2025-01-01 11:46:00,Pune,R0184,Biryani,596,46,1
ORD100128,2025-01-01 12:00:00,Kolkata,R0116,Fast Food,544,65,0
ORD100129,2025-01-01 12:01:00,Bangalore,R0360,Desserts,859,26,0
ORD100130,2025-01-01 12:02:00,Bangalore,R0185,Fast Food,1239,29,0
ORD100131,2025-01-01 12:08:00,Delhi,R0558,Italian,95,33,1
ORD100132,2025-01-01 12:14:00,Chennai,R0568,Desserts,218,40,0
ORD100133,2025-01-01 12:16:00,Bangalore,R0621,Continental,1446,47,1
ORD100134,2025-01-01 12:17:00,Delhi,R0274,Beverages,90,52,0
ORD100135,2025-01-01 12:18:00,Delhi,R0580,South Indian,1095,24,0
ORD100136,2025-01-01 12:19:00,Delhi,R0315,Beverages,534,40,1
ORD100137,2025-01-01 12:20:00,Delhi,R0132,Continental,1071,42,0
ORD100138,2025-01-01 12:23:00,Chennai,R0143,Biryani,1458,66,0
ORD100139,2025-01-01 12:24:00,Kolkata,R0671,Fast Food,1402,74,1
